status,datetime_GMT
bird,2021-03-19 16:53:38.166931+00:00
no bird,2021-03-19 16:54:42.869485+00:00
no bird,2021-03-19 16:55:47.264817+00:00
bird,2021-03-19 16:56:51.652839+00:00
bird,2021-03-19 16:57:55.885262+00:00
no bird,2021-03-19 16:59:00.341185+00:00
no bird,2021-03-19 17:00:04.725838+00:00
no bird,2021-03-19 17:01:09.034395+00:00
bird,2021-03-19 17:02:13.201109+00:00
no bird,2021-03-19 17:03:17.857655+00:00
bird,2021-03-19 17:04:22.133878+00:00
bird,2021-03-19 17:05:26.855725+00:00
bird,2021-03-19 17:06:31.044629+00:00
bird,2021-03-19 17:07:35.243678+00:00
bird,2021-03-19 17:08:39.441417+00:00
no bird,2021-03-19 17:09:43.534472+00:00
no bird,2021-03-19 17:10:47.806055+00:00
no bird,2021-03-19 17:11:52.848013+00:00
bird,2021-03-19 17:12:57.790001+00:00
bird,2021-03-19 17:14:02.466323+00:00
bird,2021-03-19 17:15:07.417566+00:00
no bird,2021-03-19 17:16:12.201690+00:00
bird,2021-03-19 17:17:16.909368+00:00
no bird,2021-03-19 17:18:21.256939+00:00
no bird,2021-03-19 17:19:26.897371+00:00
no bird,2021-03-19 17:20:31.866178+00:00
no bird,2021-03-19 17:21:37.255941+00:00
no bird,2021-03-19 17:22:41.780584+00:00
no bird,2021-03-19 17:23:46.475383+00:00
no bird,2021-03-19 17:24:51.108015+00:00
no bird,2021-03-19 17:25:55.820580+00:00
no bird,2021-03-19 17:27:00.440690+00:00
no bird,2021-03-19 17:28:05.961346+00:00
no bird,2021-03-19 17:29:10.304367+00:00
no bird,2021-03-19 17:30:14.451427+00:00
no bird,2021-03-19 17:31:18.820024+00:00
no bird,2021-03-19 17:32:23.106693+00:00
no bird,2021-03-19 17:33:27.337812+00:00
no bird,2021-03-19 17:34:32.677424+00:00
no bird,2021-03-19 17:35:42.108094+00:00
no bird,2021-03-19 17:36:46.931559+00:00
no bird,2021-03-19 17:37:51.286743+00:00
no bird,2021-03-19 17:38:55.933922+00:00
no bird,2021-03-19 17:40:00.840142+00:00
no bird,2021-03-19 17:41:05.173304+00:00
no bird,2021-03-19 17:42:09.441741+00:00
no bird,2021-03-19 17:43:13.672896+00:00
no bird,2021-03-19 17:44:17.912093+00:00
no bird,2021-03-19 17:45:22.948649+00:00
no bird,2021-03-19 17:46:27.289320+00:00
no bird,2021-03-19 17:47:31.613740+00:00
no bird,2021-03-19 17:48:35.927748+00:00
no bird,2021-03-19 17:49:40.184264+00:00
no bird,2021-03-19 17:50:44.432519+00:00
no bird,2021-03-19 17:51:48.693618+00:00
no bird,2021-03-19 17:52:53.577041+00:00
no bird,2021-03-19 17:53:59.267998+00:00
no bird,2021-03-19 17:55:03.509354+00:00
no bird,2021-03-19 17:56:07.781851+00:00
no bird,2021-03-19 17:57:12.815684+00:00
no bird,2021-03-19 17:58:17.496670+00:00
no bird,2021-03-19 17:59:22.107196+00:00
no bird,2021-03-19 18:00:28.207378+00:00
no bird,2021-03-19 18:01:33.850833+00:00
no bird,2021-03-19 18:02:38.827941+00:00
no bird,2021-03-19 18:03:43.520686+00:00
no bird,2021-03-19 18:04:48.959498+00:00
no bird,2021-03-19 18:05:53.657959+00:00
no bird,2021-03-19 18:06:58.131963+00:00
no bird,2021-03-19 18:08:02.528504+00:00
no bird,2021-03-19 18:09:07.034490+00:00
no bird,2021-03-19 18:10:12.770369+00:00
no bird,2021-03-19 18:11:17.069945+00:00
no bird,2021-03-19 18:12:21.333613+00:00
no bird,2021-03-19 18:13:25.552255+00:00
no bird,2021-03-19 18:14:29.803400+00:00
no bird,2021-03-19 18:15:34.363311+00:00
no bird,2021-03-19 18:16:38.738471+00:00
no bird,2021-03-19 18:17:43.163047+00:00
no bird,2021-03-19 18:18:47.569547+00:00
no bird,2021-03-19 18:19:51.847304+00:00
no bird,2021-03-19 18:20:56.106646+00:00
no bird,2021-03-19 18:22:01.898233+00:00
no bird,2021-03-19 18:23:09.495292+00:00
no bird,2021-03-19 18:24:16.794169+00:00
no bird,2021-03-19 18:25:21.958338+00:00
no bird,2021-03-19 18:26:26.340352+00:00
no bird,2021-03-19 18:27:30.714278+00:00
no bird,2021-03-19 18:28:35.932740+00:00
no bird,2021-03-19 18:29:40.402060+00:00
no bird,2021-03-19 18:30:45.393125+00:00
no bird,2021-03-19 18:31:50.366238+00:00
no bird,2021-03-19 18:32:54.901472+00:00
no bird,2021-03-19 18:33:59.961897+00:00
